state,district,year,quarter,transaction_count,transaction_amount
Delhi,north west district,2024,2,65793946,85699952278.0
Delhi,north district,2024,2,66237451,80802171901.0
Delhi,south east district,2024,3,119887875,115843984533.0
Delhi,south district,2024,3,66793305,61474800365.0
Delhi,central district,2024,3,96980410,122150909789.0
Delhi,new delhi district,2024,3,98511012,96693600968.0
Delhi,west district,2024,3,110721125,135949959503.0
Delhi,south west district,2024,3,65529840,73300154392.0
Delhi,shahdara district,2024,3,42641753,59162373651.0
Delhi,north east district,2024,3,40813492,55946345898.0
Delhi,east district,2024,3,60170809,60461465262.0
Delhi,north west district,2024,3,71962281,91953880029.0
Delhi,north district,2024,3,70832621,85265909198.0
Delhi,south district,2024,1,50077749,51230210062.0
Delhi,central district,2024,1,79235815,110947468958.0
Delhi,new delhi district,2024,1,77042760,83246181854.0
Delhi,west district,2024,1,84434978,118209456659.0
Delhi,south west district,2024,1,49084574,61579350279.0
Delhi,south east delhi district,2024,1,89113496,96406605498.0
Delhi,shahdara district,2024,1,33245587,54596385979.0
Delhi,north east district,2024,1,32455512,51828875486.0
Delhi,east district,2024,1,46810259,53139178531.0
Delhi,north west district,2024,1,54104072,77693103094.0
Delhi,north district,2024,1,55129256,73637214713.0
Delhi,south district,2020,4,6797385,9578135719.354939
Delhi,central district,2020,4,32194168,61575435521.28284
Delhi,new delhi district,2020,4,19719782,37020451053.1837
Delhi,west district,2020,4,12092280,22395396964.83783
Delhi,south west district,2020,4,7745403,12646111042.466732
Delhi,south east delhi district,2020,4,11414146,17130268130.317047
Delhi,shahdara district,2020,4,4208254,9392225302.24066
Delhi,north east district,2020,4,4156966,8639858685.613663
Delhi,east district,2020,4,7410660,10725439312.082695
Delhi,north west district,2020,4,8026101,14953244692.580372
Delhi,north district,2020,4,6775272,12208521800.583145
Delhi,south district,2020,2,3631140,4698622938.32077
Delhi,central district,2020,2,17641823,30418597739.3527
Delhi,new delhi district,2020,2,13713658,27033383045.677082
Delhi,west district,2020,2,5753319,8981471481.485285
Delhi,south west district,2020,2,4193591,6168338438.737106
Delhi,south east delhi district,2020,2,5215263,7084670452.703099
Delhi,shahdara district,2020,2,1925218,3324156645.786351
Delhi,north east district,2020,2,2229412,3393429629.3164525
Delhi,east district,2020,2,4005780,5059627017.012638
Delhi,north west district,2020,2,4270005,6452332763.460186
Delhi,north district,2020,2,3462809,5258808051.479293
Delhi,south district,2020,3,4564631,6503381595.242459
Delhi,central district,2020,3,32203761,61527717933.93762
Delhi,new delhi district,2020,3,17268250,34516772051.491745
Delhi,west district,2020,3,8231034,14963814238.681543
Delhi,south west district,2020,3,5547370,8927576871.08003
Delhi,south east delhi district,2020,3,7402382,11175362187.684738
Delhi,shahdara district,2020,3,2832449,5899818228.157591
Delhi,north east district,2020,3,2910048,5488227059.169052
Delhi,east district,2020,3,5054670,7198767026.72743
Delhi,north west district,2020,3,5785656,10454717366.918316
Delhi,north district,2020,3,4691610,8507808245.570089
Delhi,south district,2020,1,4578729,5702232003.384875
Delhi,central district,2020,1,24757650,41219414205.0607
Delhi,new delhi district,2020,1,17899322,34941263526.20206
Delhi,west district,2020,1,6627571,10519670848.511332
Delhi,south west district,2020,1,3956004,6031191820.22498
Delhi,south east delhi district,2020,1,6523345,9238065831.407084
Delhi,shahdara district,2020,1,2148023,3847703306.2548194
Delhi,north east district,2020,1,1945559,3286317523.1033545
Delhi,east district,2020,1,4783041,5861493191.072474
Delhi,north west district,2020,1,4394010,7009463341.814796
Delhi,north district,2020,1,4134350,5959728045.553724
Delhi,south district,2022,4,19537728,23391855096.18752
Delhi,central district,2022,4,280960656,386107883617.53076
Delhi,new delhi district,2022,4,45094468,58157025088.38429
Delhi,west district,2022,4,32293188,56453476563.182175
Delhi,south west district,2022,4,18499176,28102930810.327362
Delhi,south east delhi district,2022,4,33116019,44231426531.24901
Delhi,shahdara district,2022,4,11420073,24438534174.92784
Delhi,north east district,2022,4,11345971,23377796053.16697
Delhi,east district,2022,4,23683133,33122093387.044395
Delhi,north west district,2022,4,19859098,35599171826.28781
Delhi,north district,2022,4,19393947,31932822870.2881
Delhi,south district,2022,2,17358990,21493188986.975037
Delhi,central district,2022,2,159034619,232911858055.08478
Delhi,new delhi district,2022,2,87939392,129418048270.15207
Delhi,west district,2022,2,28008086,50563146986.313255
Delhi,south west district,2022,2,16899542,26515960445.85206
Delhi,south east delhi district,2022,2,29302567,40564903164.264656
Delhi,shahdara district,2022,2,10060246,22195136725.333412
Delhi,north east district,2022,2,9992930,20477358374.155003
Delhi,east district,2022,2,16485686,23141432019.978474
Delhi,north west district,2022,2,18057230,33092543802.04011
Delhi,north district,2022,2,17494896,29482073628.067886
Delhi,south district,2022,3,18234782,21732528705.790974
Delhi,central district,2022,3,243139962,327191972497.86694
Delhi,new delhi district,2022,3,58178476,76558260276.67705
Delhi,west district,2022,3,30595250,52638495087.749954
Delhi,south west district,2022,3,17276601,26324661266.56318
Delhi,south east delhi district,2022,3,30215862,40627500625.401535
Delhi,shahdara district,2022,3,10220528,21361296110.510616
Delhi,north east district,2022,3,10077560,19808599331.163063
Delhi,east district,2022,3,21104584,28881717613.549664
Delhi,north west district,2022,3,18316480,32675014921.771603
Delhi,north district,2022,3,18232076,29812600679.071415
Delhi,south district,2022,1,13519253,17982839888.57036
Delhi,central district,2022,1,128309915,198072597274.588
Delhi,new delhi district,2022,1,71006225,110657872546.40234
Delhi,west district,2022,1,22748647,43283043830.88957
Delhi,south west district,2022,1,13659485,22636957994.996166
Delhi,south east delhi district,2022,1,23146633,34276252396.92598
Delhi,shahdara district,2022,1,8243067,19161154403.811974
Delhi,north east district,2022,1,8357217,17814230282.345295
Delhi,east district,2022,1,13032988,19771730745.94047
Delhi,north west district,2022,1,14899833,28208907241.065834
Delhi,north district,2022,1,14076598,25099334230.75274
Delhi,south district,2021,4,12510023,16942839763.77591
Delhi,central district,2021,4,111134916,177625511230.04297
Delhi,new delhi district,2021,4,61634107,99244375372.27342
Delhi,west district,2021,4,20430656,39890704519.6619
Delhi,south west district,2021,4,12404698,21054166955.724888
Delhi,south east delhi district,2021,4,21366628,32122243404.91709
Delhi,shahdara district,2021,4,7518346,17929102853.31345
Delhi,north east district,2021,4,7502147,16623188284.116459
Delhi,east district,2021,4,12092666,18447833006.757885
Delhi,north west district,2021,4,13585992,26091698381.405727
Delhi,north district,2021,4,12503180,22723650290.401375
Delhi,south district,2021,2,7346726,9956087387.089848
Delhi,central district,2021,2,62131856,100895875737.76091
Delhi,new delhi district,2021,2,36788618,60387138441.32027
Delhi,west district,2021,2,12217454,22460950400.13157
Delhi,south west district,2021,2,8208259,13456640547.363728
Delhi,south east delhi district,2021,2,11519378,17106146861.933065
Delhi,shahdara district,2021,2,4234013,9073393321.040276
Delhi,north east district,2021,2,4567057,9118331386.987755
Delhi,east district,2021,2,7486985,10978698462.135326
Delhi,north west district,2021,2,8373397,15462806103.953077
Delhi,north district,2021,2,7283521,13045029034.825657
Delhi,south district,2021,3,10381321,13789719686.570162
Delhi,central district,2021,3,88849847,137311394953.58371
Delhi,new delhi district,2021,3,50089446,77874603330.18225
Delhi,west district,2021,3,17186832,31879892281.09146
Delhi,south west district,2021,3,10691277,17385987188.96021
Delhi,south east delhi district,2021,3,17254936,25283744433.53666
Delhi,shahdara district,2021,3,6108459,13750322170.230267
Delhi,north east district,2021,3,5995497,12299024401.944893
Delhi,east district,2021,3,10407086,14944795668.028805
Delhi,north west district,2021,3,11436200,21133053482.335487
Delhi,north district,2021,3,10359707,18205778951.817307
Delhi,south district,2021,1,7428356,10208060134.038582
Delhi,central district,2021,1,54173342,90711721159.7766
Delhi,new delhi district,2021,1,31953482,53832767509.43621
Delhi,west district,2021,1,12363374,23133622270.239567
Delhi,south west district,2021,1,7721739,12780255587.51034
Delhi,south east delhi district,2021,1,12287216,18449868327.686386
Delhi,shahdara district,2021,1,4235592,9595155648.306192
Delhi,north east district,2021,1,4096987,8600371051.924284
Delhi,east district,2021,1,7874737,11290580992.02735
Delhi,north west district,2021,1,8024587,15349170514.541979
Delhi,north district,2021,1,7199592,12976771848.005226
Delhi,south district,2018,4,1769675,2243831444.013054
Delhi,central district,2018,4,9373395,13878492766.290386
Delhi,new delhi district,2018,4,3230268,5091082007.824482
Delhi,west district,2018,4,2678986,3650604507.6334457
Delhi,south west district,2018,4,1535302,2165326033.913863
Delhi,south east delhi district,2018,4,2675009,3473400560.128728
Delhi,shahdara district,2018,4,987533,1305320182.496128
Delhi,north east district,2018,4,777795,1097772210.9177313
Delhi,east district,2018,4,2073615,2113753353.5608745
Delhi,north west district,2018,4,2221592,2514145474.579898
Delhi,north district,2018,4,1864549,2189129077.3478146
Delhi,south district,2018,2,513003,979271408.8449214
Delhi,central district,2018,2,3589206,6223466821.092629
Delhi,new delhi district,2018,2,1177251,2387389846.7443447
Delhi,west district,2018,2,785457,1588935316.1264243
Delhi,south west district,2018,2,440508,903268239.0851494
Delhi,south east delhi district,2018,2,767547,1466216713.987477
Delhi,shahdara district,2018,2,272663,533105673.5945449
Delhi,north east district,2018,2,230049,421841650.28459144
Delhi,east district,2018,2,504193,925784169.7499557
Delhi,north west district,2018,2,575888,1041767876.9620268
Delhi,north district,2018,2,517958,975252185.7330843
Delhi,south district,2018,3,1009436,1501908121.057089
Delhi,central district,2018,3,8165361,10515884583.426525
Delhi,new delhi district,2018,3,2022950,3481996395.7022567
Delhi,west district,2018,3,1402787,2408205061.402441
Delhi,south west district,2018,3,789269,1374843119.5072455
Delhi,south east delhi district,2018,3,1321135,2190894940.9217963
Delhi,shahdara district,2018,3,481819,805520386.5670927
