state,district,year,quarter,user_count
Delhi,west district,2020,3,1343895
Delhi,south west district,2020,3,739034
Delhi,south east delhi district,2020,3,1088989
Delhi,shahdara district,2020,3,543831
Delhi,north east district,2020,3,479924
Delhi,east district,2020,3,685955
Delhi,north west district,2020,3,946954
Delhi,north district,2020,3,763389
Delhi,south district,2020,1,570329
Delhi,central district,2020,1,765149
Delhi,new delhi district,2020,1,810489
Delhi,west district,2020,1,1160353
Delhi,south west district,2020,1,644981
Delhi,south east delhi district,2020,1,947535
Delhi,shahdara district,2020,1,460186
Delhi,north east district,2020,1,399504
Delhi,east district,2020,1,604768
Delhi,north west district,2020,1,814249
Delhi,north district,2020,1,648654
Delhi,south district,2022,4,1117981
Delhi,central district,2022,4,1558400
Delhi,new delhi district,2022,4,1552874
Delhi,west district,2022,4,2348063
Delhi,south west district,2022,4,1275864
Delhi,south east delhi district,2022,4,1894776
Delhi,shahdara district,2022,4,963656
Delhi,north east district,2022,4,864990
Delhi,east district,2022,4,1177294
Delhi,north west district,2022,4,1655730
Delhi,north district,2022,4,1354521
Delhi,south district,2022,2,1013938
Delhi,central district,2022,2,1409776
Delhi,new delhi district,2022,2,1406687
Delhi,west district,2022,2,2124626
Delhi,south west district,2022,2,1155288
Delhi,south east delhi district,2022,2,1714507
Delhi,shahdara district,2022,2,870461
Delhi,north east district,2022,2,779621
Delhi,east district,2022,2,1066632
Delhi,north west district,2022,2,1496002
Delhi,north district,2022,2,1222605
Delhi,south district,2022,3,1065631
Delhi,central district,2022,3,1483786
Delhi,new delhi district,2022,3,1479669
Delhi,west district,2022,3,2235907
Delhi,south west district,2022,3,1215697
Delhi,south east delhi district,2022,3,1804123
Delhi,shahdara district,2022,3,917096
Delhi,north east district,2022,3,822038
Delhi,east district,2022,3,1121596
Delhi,north west district,2022,3,1575473
Delhi,north district,2022,3,1288507
Delhi,south district,2022,1,963775
Delhi,central district,2022,1,1338465
Delhi,new delhi district,2022,1,1336911
Delhi,west district,2022,1,2017435
Delhi,south west district,2022,1,1097016
Delhi,south east delhi district,2022,1,1628157
Delhi,shahdara district,2022,1,826148
Delhi,north east district,2022,1,739301
Delhi,east district,2022,1,1013024
Delhi,north west district,2022,1,1419688
Delhi,north district,2022,1,1159277
Delhi,south district,2021,4,911399
Delhi,central district,2021,4,1263911
Delhi,new delhi district,2021,4,1263818
Delhi,west district,2021,4,1905278
Delhi,south west district,2021,4,1036466
Delhi,south east delhi district,2021,4,1537814
Delhi,shahdara district,2021,4,779798
Delhi,north east district,2021,4,696743
Delhi,east district,2021,4,957392
Delhi,north west district,2021,4,1339480
Delhi,north district,2021,4,1093028
Delhi,south district,2021,2,799590
Delhi,central district,2021,2,1105640
Delhi,new delhi district,2021,2,1108471
Delhi,west district,2021,2,1666267
Delhi,south west district,2021,2,906878
Delhi,south east delhi district,2021,2,1346063
Delhi,shahdara district,2021,2,681073
Delhi,north east district,2021,2,607021
Delhi,east district,2021,2,839185
Delhi,north west district,2021,2,1170137
Delhi,north district,2021,2,952374
Delhi,south district,2021,3,855177
Delhi,central district,2021,3,1184217
Delhi,new delhi district,2021,3,1185588
Delhi,west district,2021,3,1785309
Delhi,south west district,2021,3,971552
Delhi,south east delhi district,2021,3,1441462
Delhi,shahdara district,2021,3,730209
Delhi,north east district,2021,3,651695
Delhi,east district,2021,3,898137
Delhi,north west district,2021,3,1254464
Delhi,north district,2021,3,1022251
Delhi,south district,2021,1,749173
Delhi,central district,2021,1,1035060
Delhi,new delhi district,2021,1,1039016
Delhi,west district,2021,1,1559112
Delhi,south west district,2021,1,849223
Delhi,south east delhi district,2021,1,1260645
Delhi,shahdara district,2021,1,636908
Delhi,north east district,2021,1,567107
Delhi,east district,2021,1,786308
Delhi,north west district,2021,1,1094464
Delhi,north district,2021,1,890194
Delhi,south district,2018,4,344311
Delhi,central district,2018,4,446787
Delhi,new delhi district,2018,4,470991
Delhi,west district,2018,4,686653
Delhi,south west district,2018,4,393208
Delhi,south east delhi district,2018,4,564640
Delhi,shahdara district,2018,4,257785
Delhi,north east district,2018,4,216694
Delhi,east district,2018,4,373139
Delhi,north west district,2018,4,496928
Delhi,north district,2018,4,379177
Delhi,south district,2018,2,206935
Delhi,central district,2018,2,267154
Delhi,new delhi district,2018,2,282319
Delhi,west district,2018,2,406877
Delhi,south west district,2018,2,236789
Delhi,south east delhi district,2018,2,333350
Delhi,shahdara district,2018,2,152113
Delhi,north east district,2018,2,127159
Delhi,east district,2018,2,221449
Delhi,north west district,2018,2,294038
Delhi,north district,2018,2,227958
Delhi,south district,2018,3,264628
Delhi,central district,2018,3,340549
Delhi,new delhi district,2018,3,363140
Delhi,west district,2018,3,515854
Delhi,south west district,2018,3,297663
Delhi,south east delhi district,2018,3,423177
Delhi,shahdara district,2018,3,192430
Delhi,north east district,2018,3,159566
Delhi,east district,2018,3,280847
Delhi,north west district,2018,3,376806
Delhi,north district,2018,3,290251
Delhi,south district,2018,1,156706
Delhi,central district,2018,1,202723
Delhi,new delhi district,2018,1,212008
Delhi,west district,2018,1,308558
Delhi,south west district,2018,1,179197
Delhi,south east delhi district,2018,1,251213
Delhi,shahdara district,2018,1,114549
Delhi,north east district,2018,1,95472
Delhi,east district,2018,1,169295
Delhi,north west district,2018,1,223679
Delhi,north district,2018,1,173622
Tamil Nadu,tiruchirappalli district,2023,4,936873
Tamil Nadu,ramanathapuram district,2023,4,287153
Tamil Nadu,krishnagiri district,2023,4,1060928
Tamil Nadu,cuddalore district,2023,4,721298
Tamil Nadu,kancheepuram district,2023,4,1574315
Tamil Nadu,tiruppur district,2023,4,1392956
Tamil Nadu,dharmapuri district,2023,4,556942
Tamil Nadu,thoothukkudi district,2023,4,445578
Tamil Nadu,thanjavur district,2023,4,606231
Tamil Nadu,madurai district,2023,4,1115928
Tamil Nadu,tiruvannamalai district,2023,4,671642
Tamil Nadu,salem district,2023,4,1236133
Tamil Nadu,nagapattinam district,2023,4,308925
Tamil Nadu,tirupathur district,2023,4,434375
Tamil Nadu,ariyalur district,2023,4,184213
Tamil Nadu,chennai district,2023,4,3205005
Tamil Nadu,the nilgiris district,2023,4,233481
Tamil Nadu,erode district,2023,4,803289
Tamil Nadu,karur district,2023,4,304694
Tamil Nadu,kallakkurichi district,2023,4,422808
Tamil Nadu,viluppuram district,2023,4,519703
Tamil Nadu,pudukkottai district,2023,4,323405
Tamil Nadu,perambalur district,2023,4,153771
Tamil Nadu,coimbatore district,2023,4,2277873
Tamil Nadu,virudhunagar district,2023,4,474261
Tamil Nadu,dindigul district,2023,4,600361
Tamil Nadu,sivaganga district,2023,4,328648
Tamil Nadu,tenkasi district,2023,4,278708
Tamil Nadu,chengalpattu district,2023,4,2183205
Tamil Nadu,kanniyakumari district,2023,4,503758
Tamil Nadu,tirunelveli district,2023,4,460086
Tamil Nadu,thiruvallur district,2023,4,2676065
Tamil Nadu,theni district,2023,4,335644
Tamil Nadu,ranipet district,2023,4,444735
Tamil Nadu,namakkal district,2023,4,545494
Tamil Nadu,vellore district,2023,4,612296
Tamil Nadu,thiruvarur district,2023,4,232021
Tamil Nadu,tiruchirappalli district,2023,2,868289
Tamil Nadu,ramanathapuram district,2023,2,265163
Tamil Nadu,krishnagiri district,2023,2,983032
Tamil Nadu,cuddalore district,2023,2,667331
Tamil Nadu,kancheepuram district,2023,2,1461910
Tamil Nadu,tiruppur district,2023,2,1289806
Tamil Nadu,dharmapuri district,2023,2,514426
Tamil Nadu,thoothukkudi district,2023,2,412660
Tamil Nadu,thanjavur district,2023,2,561553
Tamil Nadu,madurai district,2023,2,1035842
Tamil Nadu,tiruvannamalai district,2023,2,620344
Tamil Nadu,salem district,2023,2,1144842
Tamil Nadu,nagapattinam district,2023,2,285689
Tamil Nadu,tirupathur district,2023,2,401833
Tamil Nadu,ariyalur district,2023,2,169724
Tamil Nadu,chennai district,2023,2,2987502
Tamil Nadu,the nilgiris district,2023,2,216942
Tamil Nadu,erode district,2023,2,744174
Tamil Nadu,karur district,2023,2,281602
Tamil Nadu,kallakkurichi district,2023,2,390043
Tamil Nadu,viluppuram district,2023,2,480472
Tamil Nadu,pudukkottai district,2023,2,298522
Tamil Nadu,perambalur district,2023,2,141956
Tamil Nadu,coimbatore district,2023,2,2118883
Tamil Nadu,virudhunagar district,2023,2,438503
Tamil Nadu,dindigul district,2023,2,555767
Tamil Nadu,sivaganga district,2023,2,303622
Tamil Nadu,tenkasi district,2023,2,257531
Tamil Nadu,chengalpattu district,2023,2,2031529
Tamil Nadu,kanniyakumari district,2023,2,467421
Tamil Nadu,tirunelveli district,2023,2,426271
Tamil Nadu,thiruvallur district,2023,2,2484893
Tamil Nadu,theni district,2023,2,310669
Tamil Nadu,ranipet district,2023,2,411524
Tamil Nadu,namakkal district,2023,2,504722
Tamil Nadu,vellore district,2023,2,567827
Tamil Nadu,thiruvarur district,2023,2,214780
Tamil Nadu,tiruchirappalli district,2023,3,903048
Tamil Nadu,ramanathapuram district,2023,3,276496
Tamil Nadu,krishnagiri district,2023,3,1023066
Tamil Nadu,cuddalore district,2023,3,694629
Tamil Nadu,kancheepuram district,2023,3,1519225
Tamil Nadu,tiruppur district,2023,3,1341973
Tamil Nadu,dharmapuri district,2023,3,536004
Tamil Nadu,thoothukkudi district,2023,3,429581
Tamil Nadu,thanjavur district,2023,3,584027
Tamil Nadu,madurai district,2023,3,1076620
Tamil Nadu,tiruvannamalai district,2023,3,646336
Tamil Nadu,salem district,2023,3,1191010
Tamil Nadu,nagapattinam district,2023,3,297470
Tamil Nadu,tirupathur district,2023,3,418336
Tamil Nadu,ariyalur district,2023,3,177042
Tamil Nadu,chennai district,2023,3,3098864
Tamil Nadu,the nilgiris district,2023,3,225442
Tamil Nadu,erode district,2023,3,774423
Tamil Nadu,karur district,2023,3,293476
Tamil Nadu,kallakkurichi district,2023,3,406660
Tamil Nadu,viluppuram district,2023,3,500205
Tamil Nadu,pudukkottai district,2023,3,311128
Tamil Nadu,perambalur district,2023,3,147842
Tamil Nadu,coimbatore district,2023,3,2200165
Tamil Nadu,virudhunagar district,2023,3,456735
Tamil Nadu,dindigul district,2023,3,578419
Tamil Nadu,sivaganga district,2023,3,316393
Tamil Nadu,tenkasi district,2023,3,268368
Tamil Nadu,chengalpattu district,2023,3,2109212
Tamil Nadu,kanniyakumari district,2023,3,486333
Tamil Nadu,tirunelveli district,2023,3,443436
Tamil Nadu,thiruvallur district,2023,3,2582607
Tamil Nadu,theni district,2023,3,323339
Tamil Nadu,ranipet district,2023,3,428318
Tamil Nadu,namakkal district,2023,3,525316
Tamil Nadu,vellore district,2023,3,590387
Tamil Nadu,thiruvarur district,2023,3,223505
Tamil Nadu,tiruchirappalli district,2023,1,834366
Tamil Nadu,ramanathapuram district,2023,1,253860
Tamil Nadu,krishnagiri district,2023,1,944553
Tamil Nadu,cuddalore district,2023,1,640477
Tamil Nadu,kancheepuram district,2023,1,1408216
Tamil Nadu,tiruppur district,2023,1,1237941
Tamil Nadu,dharmapuri district,2023,1,493000
Tamil Nadu,thoothukkudi district,2023,1,395704
Tamil Nadu,thanjavur district,2023,1,539170
